distance_m,n_samples,mean_rssi_dbm,std_rssi_db,mean_tx_dbm,mean_pl_db
0.5,30,-29.87,0.76,0.0,29.87
1.0,29,-40.45,1.04,0.0,40.45
1.5,30,-36.47,0.5,0.0,36.47
2.0,30,-33.93,0.57,0.0,33.93
2.5,30,-35.63,0.48,0.0,35.63
3.0,30,-47.9,3.06,0.0,47.9
3.5,30,-49.0,1.18,0.0,49.0
4.0,30,-46.93,0.93,0.0,46.93
4.5,30,-47.03,1.43,0.0,47.03
5.0,30,-57.13,4.43,0.0,57.13
5.5,30,-45.33,1.49,0.0,45.33
6.0,30,-42.67,0.65,0.0,42.67
6.5,30,-63.57,3.83,0.0,63.57
7.0,30,-47.53,0.92,0.0,47.53
