distance_m,n_samples,mean_rssi_dbm,std_rssi_db,mean_tx_dbm,mean_pl_db
0.5,29,-20.55,0.5,0.0,20.55
1.0,30,-23.03,0.31,0.0,23.03
1.5,30,-28.3,0.46,0.0,28.3
2.0,29,-41.38,0.76,0.0,41.38
2.5,30,-39.53,1.23,0.0,39.53
3.0,30,-35.2,0.48,0.0,35.2
3.5,30,-36.67,0.47,0.0,36.67
4.0,30,-34.87,0.56,0.0,34.87
4.5,30,-33.73,0.77,0.0,33.73
5.0,30,-33.37,0.48,0.0,33.37
5.5,30,-48.9,1.83,0.0,48.9
6.0,30,-38.17,0.45,0.0,38.17
6.5,30,-40.13,0.56,0.0,40.13
